"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 25 01:38:44 GMT 2022","Fri Nov 25 01:38:47 GMT 2022","3107","tests","test_sticky_nav","TestStickyNav","","","test_sticky_main",""
"passed","Fri Nov 25 01:36:19 GMT 2022","Fri Nov 25 01:36:19 GMT 2022","731","tests","test_elements_page","TestElementsPage","","","test_button",""
"passed","Fri Nov 25 01:37:54 GMT 2022","Fri Nov 25 01:37:55 GMT 2022","645","tests","test_elements_page","TestElementsPage","","","test_radio_button",""
"passed","Fri Nov 25 01:37:05 GMT 2022","Fri Nov 25 01:37:06 GMT 2022","601","tests","test_elements_page","TestElementsPage","","","test_check_box",""
"passed","Fri Nov 25 01:33:35 GMT 2022","Fri Nov 25 01:33:39 GMT 2022","3948","tests","test_app_graphics","TestAppGraphics","","","test",""
"passed","Fri Nov 25 01:34:29 GMT 2022","Fri Nov 25 01:34:35 GMT 2022","5739","tests","test_elements_page","TestElementsPage","","","test_title",""
"passed","Fri Nov 25 01:35:29 GMT 2022","Fri Nov 25 01:35:29 GMT 2022","678","tests","test_elements_page","TestElementsPage","","","test_text_boxes",""
"passed","Fri Nov 25 01:39:35 GMT 2022","Fri Nov 25 01:39:37 GMT 2022","2200","tests","test_sticky_nav","TestStickyNav","","","test_nav_on_scroll",""
