"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 25 09:15:44 GMT 2022","Fri Nov 25 09:15:45 GMT 2022","1552","tests","test_sticky_nav","TestStickyNav","","","test_sticky_main",""
"passed","Fri Nov 25 09:10:48 GMT 2022","Fri Nov 25 09:10:52 GMT 2022","3747","tests","test_app_graphics","TestAppGraphics","","","test",""
"passed","Fri Nov 25 09:14:14 GMT 2022","Fri Nov 25 09:14:14 GMT 2022","412","tests","test_elements_page","TestElementsPage","","","test_check_box",""
"passed","Fri Nov 25 09:16:38 GMT 2022","Fri Nov 25 09:16:40 GMT 2022","1331","tests","test_sticky_nav","TestStickyNav","","","test_nav_on_scroll",""
"passed","Fri Nov 25 09:12:36 GMT 2022","Fri Nov 25 09:12:37 GMT 2022","580","tests","test_elements_page","TestElementsPage","","","test_text_boxes",""
"passed","Fri Nov 25 09:14:59 GMT 2022","Fri Nov 25 09:14:59 GMT 2022","242","tests","test_elements_page","TestElementsPage","","","test_radio_button",""
"passed","Fri Nov 25 09:13:26 GMT 2022","Fri Nov 25 09:13:27 GMT 2022","343","tests","test_elements_page","TestElementsPage","","","test_button",""
"passed","Fri Nov 25 09:11:43 GMT 2022","Fri Nov 25 09:11:46 GMT 2022","2532","tests","test_elements_page","TestElementsPage","","","test_title",""
