"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 24 13:52:21 GMT 2022","Thu Nov 24 13:52:21 GMT 2022","0","tests","test_sticky_nav","TestStickyNav","","","test_sticky_main",""
"broken","Thu Nov 24 13:52:11 GMT 2022","Thu Nov 24 13:52:11 GMT 2022","0","tests","test_elements_page","TestElementsPage","","","test_check_box",""
"broken","Thu Nov 24 13:52:16 GMT 2022","Thu Nov 24 13:52:16 GMT 2022","0","tests","test_elements_page","TestElementsPage","","","test_radio_button",""
"broken","Thu Nov 24 13:52:26 GMT 2022","Thu Nov 24 13:52:26 GMT 2022","0","tests","test_sticky_nav","TestStickyNav","","","test_nav_on_scroll",""
"broken","Thu Nov 24 13:51:56 GMT 2022","Thu Nov 24 13:51:56 GMT 2022","0","tests","test_elements_page","TestElementsPage","","","test_title",""
"broken","Thu Nov 24 13:52:01 GMT 2022","Thu Nov 24 13:52:01 GMT 2022","0","tests","test_elements_page","TestElementsPage","","","test_text_boxes",""
"broken","Thu Nov 24 13:52:06 GMT 2022","Thu Nov 24 13:52:06 GMT 2022","0","tests","test_elements_page","TestElementsPage","","","test_button",""
"broken","Thu Nov 24 13:51:51 GMT 2022","Thu Nov 24 13:51:51 GMT 2022","0","tests","test_app_graphics","TestAppGraphics","","","test",""
