"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 28 08:58:48 GMT 2022","Mon Nov 28 08:58:48 GMT 2022","512","tests","test_elements_page","TestElementsPage","","","test_check_box",""
"passed","Mon Nov 28 09:01:30 GMT 2022","Mon Nov 28 09:01:31 GMT 2022","1716","tests","test_sticky_nav","TestStickyNav","","","test_nav_on_scroll",""
"passed","Mon Nov 28 08:55:24 GMT 2022","Mon Nov 28 08:55:29 GMT 2022","5322","tests","test_app_graphics","TestAppGraphics","","","test",""
"passed","Mon Nov 28 08:56:15 GMT 2022","Mon Nov 28 08:56:19 GMT 2022","4071","tests","test_elements_page","TestElementsPage","","","test_title",""
"passed","Mon Nov 28 08:57:57 GMT 2022","Mon Nov 28 08:57:57 GMT 2022","581","tests","test_elements_page","TestElementsPage","","","test_button",""
"passed","Mon Nov 28 08:57:10 GMT 2022","Mon Nov 28 08:57:10 GMT 2022","844","tests","test_elements_page","TestElementsPage","","","test_text_boxes",""
"passed","Mon Nov 28 09:00:36 GMT 2022","Mon Nov 28 09:00:39 GMT 2022","2478","tests","test_sticky_nav","TestStickyNav","","","test_sticky_main",""
"passed","Mon Nov 28 08:59:38 GMT 2022","Mon Nov 28 08:59:39 GMT 2022","676","tests","test_elements_page","TestElementsPage","","","test_radio_button",""
